# Finite Temperature QED corrections for dP_int/dT. [dP_int/dT] = MeV^3
# Using the results from Escudero, Jackson, Laine and Sandner 2025.XXXXX with me = 0.51099895, alpha = 1/137.035999084. Previous versions used results from Mangano et al astro-ph/0111408 (LO) and Bennett et al 1911.04504 (NLO).
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      dP_int/dT (e^4)      dP_int/dT (e^5)      
3.143816E+01        -1.978177E+02        1.761847E+01        -1.703882E+00        1.304216E-01        
3.140992E+01        -1.972850E+02        1.757103E+01        -1.699019E+00        1.300337E-01        
3.138171E+01        -1.967537E+02        1.752372E+01        -1.694170E+00        1.296470E-01        
3.135352E+01        -1.962239E+02        1.747654E+01        -1.689335E+00        1.292615E-01        
3.132535E+01        -1.956955E+02        1.742948E+01        -1.684513E+00        1.288770E-01        
3.129721E+01        -1.951684E+02        1.738255E+01        -1.679705E+00        1.284937E-01        
3.126910E+01        -1.946429E+02        1.733575E+01        -1.674911E+00        1.281115E-01        
3.124101E+01        -1.941187E+02        1.728907E+01        -1.670131E+00        1.277305E-01        
3.121294E+01        -1.935959E+02        1.724252E+01        -1.665364E+00        1.273506E-01        
3.118490E+01        -1.930746E+02        1.719609E+01        -1.660610E+00        1.269718E-01        
3.115689E+01        -1.925546E+02        1.714979E+01        -1.655870E+00        1.265941E-01        
3.112890E+01        -1.920361E+02        1.710361E+01        -1.651144E+00        1.262175E-01        
3.110094E+01        -1.915189E+02        1.705756E+01        -1.646431E+00        1.258421E-01        
3.107300E+01        -1.910032E+02        1.701163E+01        -1.641732E+00        1.254677E-01        
3.104509E+01        -1.904888E+02        1.696582E+01        -1.637046E+00        1.250944E-01        
3.101720E+01        -1.899758E+02        1.692014E+01        -1.632373E+00        1.247223E-01        
3.098933E+01        -1.894642E+02        1.687458E+01        -1.627713E+00        1.243512E-01        
3.096150E+01        -1.889540E+02        1.682915E+01        -1.623067E+00        1.239813E-01        
3.093368E+01        -1.884452E+02        1.678383E+01        -1.618434E+00        1.236124E-01        
3.090589E+01        -1.879377E+02        1.673864E+01        -1.613814E+00        1.232446E-01        
3.087813E+01        -1.874316E+02        1.669357E+01        -1.609207E+00        1.228779E-01        
3.085039E+01        -1.869268E+02        1.664862E+01        -1.604614E+00        1.225123E-01        
3.082268E+01        -1.864234E+02        1.660379E+01        -1.600033E+00        1.221478E-01        
3.079499E+01        -1.859214E+02        1.655909E+01        -1.595466E+00        1.217843E-01        
3.076733E+01        -1.854207E+02        1.651450E+01        -1.590911E+00        1.214219E-01        
3.073969E+01        -1.849214E+02        1.647003E+01        -1.586370E+00        1.210606E-01        
3.071207E+01        -1.844234E+02        1.642569E+01        -1.581841E+00        1.207003E-01        
3.068448E+01        -1.839267E+02        1.638146E+01        -1.577325E+00        1.203411E-01        
3.065692E+01        -1.834314E+02        1.633735E+01        -1.572823E+00        1.199830E-01        
3.062938E+01        -1.829374E+02        1.629336E+01        -1.568332E+00        1.196259E-01        
3.060187E+01        -1.824448E+02        1.624949E+01        -1.563855E+00        1.192699E-01        
3.057438E+01        -1.819534E+02        1.620574E+01        -1.559391E+00        1.189149E-01        
